Shucked,Viscera,Shell,Weight
0.2565,0.1415,0.21,0.677
0.237,0.1415,0.33,0.7775
0.294,0.1495,0.26,0.768
0.3145,0.151,0.32,0.8945
0.194,0.1475,0.21,0.6065
0.2725,0.171,0.205,0.6845
0.1675,0.0805,0.185,0.4755
0.188,0.087,0.13,0.451
0.4275,0.214,0.27,0.9395
0.318,0.21,0.2,0.7635
0.513,0.301,0.305,1.1615
0.3825,0.188,0.3,0.9285
0.3945,0.272,0.285,0.9955
0.6055,0.2805,0.46,1.639
0.815,0.3925,0.455,1.798
0.633,0.4115,0.49,1.7095
0.5305,0.3075,0.34,1.217
0.237,0.1165,0.145,0.5225
0.381,0.2035,0.26,0.883
0.1865,0.091,0.115,0.425
0.362,0.196,0.27,0.8515
0.1775,0.11,0.15,0.4605
0.3545,0.2135,0.245,0.8355
0.2105,0.1055,0.15,0.4775
0.2565,0.1755,0.22,0.6615
0.246,0.13,0.175,0.583
0.302,0.1935,0.2,0.6965
0.354,0.1935,0.32,0.915
0.416,0.224,0.485,1.285
0.2135,0.1155,0.17,0.5305
0.1405,0.0985,0.1,0.353
0.48,0.225,0.425,1.247
0.481,0.2895,0.315,1.098
0.4425,0.221,0.28,1.0075
0.363,0.194,0.305,0.922
0.282,0.1595,0.285,0.788
0.4695,0.2355,0.345,1.1025
0.3845,0.252,0.285,0.941
0.396,0.225,0.32,0.9885
0.339,0.2225,0.44,1.295
0.2205,0.114,0.165,0.517
0.3135,0.231,0.33,0.9775
0.507,0.318,0.39,1.262
0.2775,0.085,0.155,0.5785
0.291,0.1835,0.235,0.727
0.2935,0.183,0.28,0.802
0.261,0.1315,0.22,0.6675
0.231,0.179,0.2,0.6335
0.136,0.098,0.13,0.3635
0.2975,0.146,0.21,0.6935
0.233,0.1585,0.18,0.5915
0.2555,0.102,0.22,0.6125
0.3465,0.172,0.31,0.8825
0.163,0.1035,0.14,0.4205
0.304,0.1725,0.255,0.766
0.175,0.063,0.129,0.4035
0.085,0.036,0.062,0.1915
0.1635,0.081,0.1355,0.406
0.0675,0.0345,0.048,0.156
0.151,0.063,0.117,0.3555
0.341,0.2055,0.2475,0.826
0.295,0.1435,0.2665,0.741
0.245,0.1075,0.174,0.549
0.469,0.2585,0.335,1.1185
0.5065,0.305,0.45,1.3715
0.37,0.2355,0.355,1.0565
0.387,0.1495,0.31,0.9885
0.392,0.2425,0.34,0.994
0.374,0.2135,0.285,0.9075
0.2985,0.1785,0.44,1.124
0.53,0.2575,0.28,1.222
0.65,0.398,1.005,2.141
0.5605,0.2895,0.815,1.752
0.765,0.4515,0.85,2.124
0.625,0.408,0.65,1.842
0.5125,0.409,0.62,1.6185
0.308,0.169,0.255,0.775
0.32,0.1845,0.22,0.776
0.429,0.268,0.3,1.0235
0.4355,0.214,0.325,1.0165
0.621,0.367,0.46,1.5675
0.392,0.336,0.285,1.0525
0.54,0.3315,0.38,1.383
0.5265,0.335,0.315,1.199
0.365,0.271,0.29,0.9325
0.459,0.1965,0.195,0.8145
0.285,0.145,0.21,0.644
0.1655,0.095,0.135,0.4165
0.234,0.1465,0.23,0.63
0.2985,0.155,0.275,0.8155
0.186,0.1085,0.16,0.482
0.2755,0.1685,0.31,0.8325
0.1995,0.1625,0.22,0.6345
0.1595,0.0785,0.12,0.38
0.2475,0.128,0.235,0.66
0.1305,0.0755,0.105,0.32
0.1785,0.1125,0.14,0.455
0.187,0.1235,0.18,0.5175
0.22,0.144,0.19,0.5755
0.181,0.125,0.155,0.485
0.1715,0.1055,0.155,0.45
0.121,0.082,0.09,0.3055
0.404,0.2095,0.35,1.1015
0.2935,0.158,0.245,0.783
0.5135,0.2165,0.3,1.0605
0.4485,0.217,0.345,1.094
0.605,0.297,0.365,1.415
0.4775,0.2555,0.295,1.1015
0.394,0.194,0.26,0.928
0.3675,0.1725,0.27,0.865
0.3,0.1525,0.16,0.639
0.2035,0.1,0.17,0.4995
0.4535,0.2855,0.55,1.779
0.493,0.245,0.49,1.3485
0.2665,0.1605,0.25,0.712
0.314,0.1585,0.3,0.8415
0.177,0.104,0.15,0.4495
0.295,0.1965,0.285,0.879
0.242,0.1325,0.205,0.6445
0.3155,0.1795,0.24,0.8105
0.501,0.279,0.355,1.2765
0.342,0.207,0.35,1.013
0.1455,0.0895,0.1,0.3485
0.322,0.174,0.335,0.892
0.182,0.114,0.15,0.472
0.4635,0.3055,0.39,1.2435
0.381,0.27,0.435,1.2255
0.576,0.2475,0.39,1.242
0.315,0.1385,0.32,0.8365
0.134,0.0565,0.095,0.3185
0.598,0.4085,0.71,1.974
0.406,0.2505,0.285,1.0035
0.4775,0.2565,0.48,1.3475
0.2325,0.1495,0.17,0.568
